System	Symmetry	HF	LDA	PBE	PBEsol	B97	B3LYP	PBE0	PBEsol0	HSE06	HSEsol	HISS	RSHXLDA	wB97	wB97X	LC-wPBE	LC-wPBEsol	M06-L	M06	exp.
C	A4	12.37	4.2	4.14	4.05	5.74	5.91	6	5.94	5.35	5.29	6.05	10.93	10.66	10.29	10.52	11.56	4.73	6.42	5.49
Si	A4	6.26	0.55	0.72	0.58	1.75	1.84	1.82	1.72	1.25	1.16	1.5	5.52	5.48	5.21	5.14	5.63	1.08	2.12	1.17
Ge	A4	5.53	0.01	0	0.01	0.37	0	1.05	1.24	0.64	0.76	1.12	4.56	4.67	4.1	4.74	5.27	0.16	0.47	0.74
SiC	B3	8.51	1.38	1.46	1.32	2.8	3	2.94	2.85	2.3	2.21	2.73	7.35	7.45	6.98	6.87	7.67	1.66	3.08	2.42
BN	B3	13.6	4.42	4.49	4.32	6.36	6.51	6.53	6.42	5.84	5.73	6.64	11.42	11.45	11.01	11	12.19	4.90	6.74	6.36
BP	B3	7.79	1.31	1.39	1.27	2.63	2.76	2.73	2.65	2.1	2.02	2.44	6.87	6.77	6.47	6.47	7.1	1.79	3.08	2.4
BAs	B3	7.17	1.13	1.24	1.12	2.38	2.46	2.47	2.38	1.88	1.79	2.15	6.36	6.31	6.01	6	6.55	1.52	2.57	1.46
AlN	B3	12.14	3.37	3.45	3.31	5.22	5.35	5.39	5.3	4.7	4.61	5.41	10.24	10.28	9.8	9.72	10.9	3.77	5.80	5.34
AlP	B3	8.07	1.57	1.84	1.63	3.1	3.18	3.16	3.01	2.51	2.36	2.78	7.23	7.25	6.91	6.83	7.34	2.18	3.16	2.49
AlAs	B3	7.78	2.24	1.75	1.56	2.95	3.01	3.01	2.87	2.38	2.24	2.63	6.87	6.82	6.56	6.49	6.99	2.11	3.02	2.23
AlSb	B3	6.73	1.2	1.31	1.25	2.36	2.23	2.5	2.4	1.92	1.81	2.12	6.14	5.89	5.67	5.79	6.21	1.52	2.25	1.69
GaN	B3	10.39	1.92	1.55	1.7	3.24	3.11	3.62	3.73	2.99	3.09	4.06	8.8	8.17	7.69	8.4	10	1.90	3.72	3.3
GaP	B3	7.65	1.57	1.67	1.66	2.83	2.53	3.08	2.91	2.46	2.3	2.7	6.86	6.89	6.6	6.6	7.03	2.20	2.71	2.35
GaAs	B3	6.61	0.43	0.19	0.42	1.25	0.82	1.73	1.87	1.27	1.41	1.93	5.38	5.45	4.91	5.83	6.49	0.90	1.39	1.52
GaSb	B3	5.73	0.09	0	0.06	0.68	0.28	1.22	1.39	0.79	0.96	1.37	4.66	4.72	4.22	5.08	5.63	0.30	0.85	0.81
InP	B3	7.04	0.81	0.67	0.82	1.72	1.38	2.18	2.25	1.66	1.73	2.27	6.1	6.41	5.71	6.49	6.99	1.46	1.76	1.42
InAs	B3	5.59	0	0	0	0.45	0	0.86	0.94	0.45	0.53	0.99	4.23	4.36	3.89	4.81	5.58	0.17	0.64	0.41
InSb	B3	5.21	0	0	0	0.28	0	0.75	0.88	0.35	0.48	0.85	4.03	4.14	3.68	4.65	5.39	0.00	0.48	0.23
ZnS	B3	9.75	2.2	2.12	2.18	3.6	3.38	4	4.02	3.39	3.42	4.14	8.34	8.27	7.74	8.38	9.42	2.81	3.67	3.84
ZnSe	B3	8.41	1.21	1.18	1.24	2.58	2.25	2.91	2.93	2.35	2.37	3	6.81	6.74	6.38	7	7.95	1.83	2.74	2.82
ZnTe	B3	7.93	1.27	1.12	1.26	2.36	2.01	2.77	2.86	2.22	2.31	2.81	6.5	6.38	6.02	6.88	7.6	1.49	2.39	2.39
CdS	B3	8.26	1.02	1.1	1.08	2.46	2.24	2.79	2.72	2.17	2.13	2.78	6.99	6.78	6.34	7.11	7.85	1.63	2.43	2.58
CdSe	B3	7.12	0.34	0.48	0.45	1.68	1.42	1.97	1.91	1.45	1.41	1.98	5.71	5.75	4.96	5.93	6.77	0.98	1.74	1.85
CdTe	B3	6.85	0.61	0.62	0.67	1.69	1.42	2.03	2.04	1.57	1.59	2.05	5.58	5.29	4.98	5.87	6.51	0.94	1.65	1.61
MgS	B1	11.33	3.85	3.9	3.85	5.48	5.35	5.89	5.75	5.11	5.06	5.68	10.33	10.05	9.8	10.03	10.64	4.63	5.73	5.4
MgSe	B1	8.59	1.64	1.71	1.71	3.07	2.98	3.33	3.32	2.62	2.62	3.09	7.49	7.56	7.21	7.46	8.22	2.48	3.51	2.47
MgTe	B1	9.6	3.01	2.92	2.99	4.24	4.06	4.54	4.59	3.98	4.03	4.56	8.53	8.34	7.98	8.55	9.3	3.78	4.71	3.6
BaS	B1	9.29	1.99	2.39	2.15	3.8	3.75	3.95	3.75	3.26	3.08	3.66	8.21	7.92	7.68	8.07	8.55	2.61	3.71	3.88
BaSe	B1	8.67	1.69	2.05	1.83	3.42	3.36	3.51	3.33	2.85	2.68	3.18	7.62	7.34	7.15	7.42	7.87	2.26	3.45	3.58
BaTe	B1	8.01	1.41	1.8	1.56	3.06	3.05	3.12	2.93	2.49	2.3	2.75	7.1	6.76	6.6	6.83	7.19	1.88	2.95	3.08
LiH	B1	11.02	2.62	3.1	2.84	4.78	4.85	4.76	4.57	4.1	3.9	4.67	9.3	9.51	9.16	8.86	9.71	4.09	5.83	4.94
LiF	B1	22.46	9.97	9.26	9.44	12.05	12.04	12.67	12.83	11.89	12.05	13.41	18.1	17.28	16.91	17.71	20.11	10.23	12.46	14.2
LiCl	B1	15.06	6.75	6.48	6.55	8.31	8.17	8.75	8.79	8	8.04	8.93	13.68	13.43	12.82	13.68	14.92	7.50	8.55	9.4
NaF	B1	21.22	8.51	8.6	8.59	11.23	11.02	11.74	11.73	10.96	10.96	12.38	16.98	16.52	16.19	17	18.94	10.10	11.83	11.5
NaCl	B1	14.56	5.57	5.73	5.67	7.58	7.37	7.95	7.89	7.2	7.15	8.1	12.79	12.56	12.13	12.89	13.98	7.24	8.15	8.97
MgO	B1	15.79	5.05	4.45	4.61	6.74	6.8	7.2	7.37	6.51	6.68	7.94	12.67	11.92	11.49	12.09	14.31	5.23	7.29	7.8
SrTiO3	E21	11.76	1.73	1.72	1.73	3.46	3.35	3.82	3.95	3.96	3.16	3.96	8.24	7.98	7.69	8.28	9.64	2.47	4.12	3.25
