System	Symmetry	HF	LDA	PBE	PBEsol	B97	B3LYP	PBE0	PBEsol0	HSE06	HSEsol	HISS	RSHXLDA	wB97	wB97X	LC-wPBE	LC-wPBEsol	M06-L	M06	exp.
C	A4	498.5	467.5	431.8	449.2	439.7	440.7	469.6	480.2	468.2	479.3	498.3	488.8	464.6	461.6	493.3	528.1	452.9	459.0	455.9
Si	A4	108.6	99.4	90.0	95.1	90.7	90.9	100.9	104.1	99.6	102.9	106.8	113.2	113.6	109.5	118.3	126.0	101.4	98.4	101.3
Ge	A4	85.2	74.8	61.5	65.6	66.9	61.5	75.4	80.9	73.5	79.1	81.7	92.7	92.6	87.2	97.8	107.7	62.9	68.7	79.4
SiC	B3	247.8	231.7	214.9	224.5	225.8	219.0	234.8	240.6	233.3	239.4	248.9	249.9	239.6	240.3	255.9	272.4	227.5	228.4	229.1
BN	B3	436.4	408.9	377.7	391.3	396.0	390.4	409.6	418.4	408.7	417.9	431.9	422.9	394.6	401.3	426.7	453.7	395.8	397.2	410.2
BP	B3	182.1	180.0	165.5	173.4	164.8	164.7	179.5	184.3	178.4	183.4	189.1	189.4	184.9	179.4	196.3	205.9	177.0	171.6	168.0
BAs	B3	151.6	148.0	132.1	141.0	134.3	132.7	147.0	152.7	145.7	151.7	156.3	161.4	155.5	151.3	167.4	178.3	137.2	139.3	151.1
AlP	B3	100.0	94.2	85.6	90.5	91.4	87.2	95.1	98.1	94.3	97.4	100.8	105.1	107.6	103.4	109.5	114.7	95.1	93.4	87.4
AlAs	B3	88.0	82.8	73.3	78.7	78.7	75.1	82.8	86.2	81.9	85.4	87.6	93.0	93.5	90.5	96.0	102.9	81.5	85.8	75.0
AlSb	B3	65.9	62.9	54.8	59.6	59.1	55.7	62.2	65.5	61.3	64.6	65.9	71.2	72.5	69.5	74.2	79.3	59.2	63.7	58.2
GaN	B3	215.8	197.4	166.9	182.8	180.9	177.7	194.4	205.5	193.0	204.1	212.3	220.6	199.2	197.5	219.9	243.1	177.6	197.4	213.7
GaP	B3	94.5	91.5	77.9	85.9	83.4	78.7	90.1	95.2	88.8	94.0	96.6	104.1	106.2	101.2	107.8	116.7	87.2	90.2	92.3
GaAs	B3	80.1	74.5	62.2	69.5	66.7	62.4	73.7	78.9	72.2	77.6	79.7	88.3	88.0	84.3	92.3	101.1	66.9	75.2	78.0
GaSb	B3	62.5	60.4	46.4	54.5	52.5	49.3	57.9	62.7	57.9	56.1	56.6	71.1	71.6	66.9	54.3	52.9	53.1	60.5	57.9
InP	B3	76.1	73.0	60.7	68.2	66.8	61.7	71.8	76.6	70.6	75.5	77.3	84.8	87.4	81.9	89.0	96.3	71.3	74.8	72.0
InAs	B3	66.0	61.4	49.5	56.7	54.7	49.1	60.2	65.3	58.9	64.0	65.3	73.7	74.9	70.6	77.9	85.2	52.4	62.8	58.6
InSb	B3	53.4	50.7	40.3	46.1	45.2	39.2	48.7	53.0	47.5	51.8	52.4	60.9	62.6	58.1	64.0	70.1	40.2	51.2	46.1
ZnS	B3	71.6	86.3	70.7	79.1	71.0	69.8	77.6	83.4	77.0	82.7	81.7	86.6	84.1	83.2	88.4	95.2	76.9	85.4	75.0
ZnSe	B3	59.0	72.8	58.1	66.7	60.3	56.6	65.0	70.4	64.3	70.4	68.8	74.3	71.6	69.1	76.8	82.4	61.6	68.6	65.9
ZnTe	B3	44.0	56.6	44.1	51.6	44.6	42.4	49.9	54.9	49.2	54.3	52.6	58.4	56.2	53.4	60.7	65.0	43.4	51.7	52.8
CdTe	B3	37.1	47.4	35.9	42.3	38.1	35.3	41.0	45.7	40.4	45.1	43.6	48.6	48.2	45.3	50.7	55.1	36.3	45.2	45.0
MgS	B1	61.8	64.9	58.0	60.9	60.9	59.1	62.4	64.2	62.2	64.0	64.8	65.3	66.8	64.4	67.1	70.6	67.5	63.7	78.9
LiF	B1	78.4	90.2	70.4	75.7	73.7	75.7	76.5	81.2	76.4	81.1	79.3	74.8	74.0	69.5	74.9	83.3	69.2	73.6	76.3
LiCl	B1	30.0	41.8	32.4	36.1	32.1	32.0	34.6	37.5	34.5	37.4	36.1	32.6	38.5	33.1	36.8	39.9	35.6	30.7	38.2
NaF	B1	53.4	68.5	51.6	55.2	53.2	54.4	54.5	57.5	54.5	57.4	55.6	54.5	67.2	59.5	53.5	58.5	54.8	45.9	53.1
NaCl	B1	22.7	33.8	24.6	26.9	24.5	24.5	26.0	27.9	25.9	27.8	27.0	25.3	32.0	29.4	27.0	29.7	27.2	29.8	27.6
MgO	B1	183.4	179.2	158.5	165.0	159.6	165.9	173.2	178.6	172.9	178.5	182.9	177.7	167.6	170.4	179.6	193.2	176.4	150.7	169.8
SrTiO3	E21	215.9	203.8	171.3	187.2	185.8	184.5	196.0	208.0	195.3	207.4	209.1	206.3	190.0	192.0	205.9	229.9	183.9	206.2	179.0
