System	Symmetry	HF	LDA	PBE	PBEsol	B97	B3LYP	PBE0	PBEsol0	HSE06	HSEsol	HISS	RSHXLDA	wB97	wB97X	LC-wPBE	LC-wPBEsol	M06-L	M06	exp.
C	A4	3.555	3.534	3.575	3.557	3.577	3.573	3.549	3.537	3.549	3.538	3.529	3.531	3.565	3.560	3.538	3.512	3.554	3.548	3.555
Si	A4	5.501	5.410	5.479	5.442	5.494	5.495	5.443	5.420	5.448	5.424	5.424	5.404	5.427	5.436	5.392	5.373	5.426	5.453	5.422
Ge	A4	5.736	5.639	5.778	5.696	5.764	5.790	5.694	5.644	5.702	5.650	5.655	5.587	5.648	5.671	5.588	5.532	5.751	5.709	5.644
SiC	B3	4.390	4.357	4.406	4.383	4.395	4.403	4.375	4.361	4.377	4.361	4.352	4.348	4.381	4.378	4.352	4.322	4.353	4.365	4.348
BN	B3	3.598	3.579	3.623	3.604	3.613	3.617	3.595	3.583	3.596	3.583	3.578	3.581	3.620	3.610	3.589	3.563	3.598	3.600	3.592
BP	B3	4.591	4.508	4.564	4.537	4.584	4.579	4.538	4.521	4.539	4.522	4.517	4.514	4.548	4.550	4.509	4.485	4.532	4.549	4.527
BAs	B3	4.833	4.745	4.823	4.782	4.833	4.838	4.784	4.758	4.787	4.760	4.758	4.738	4.786	4.793	4.735	4.703	4.799	4.796	4.764
AlN	B3	4.371	4.349	4.408	4.382	4.391	4.396	4.371	4.354	4.373	4.355	4.351	4.350	4.392	4.381	4.358	4.322	4.349	4.359	4.368
AlP	B3	5.521	5.429	5.503	5.465	5.504	5.514	5.468	5.443	5.471	5.445	5.446	5.432	5.447	5.461	5.422	5.393	5.441	5.477	5.450
AlAs	B3	5.734	5.623	5.722	5.670	5.713	5.731	5.677	5.643	5.681	5.646	5.652	5.618	5.664	5.674	5.616	5.578	5.685	5.676	5.649
AlSb	B3	6.237	6.092	6.205	6.141	6.198	6.225	6.155	6.113	6.161	6.118	6.128	6.087	6.134	6.148	6.072	6.035	6.182	6.171	6.126
GaN	B3	4.513	4.477	4.569	4.520	4.547	4.559	4.514	4.483	4.517	4.485	4.481	4.460	4.518	4.517	4.471	4.422	4.540	4.508	4.523
GaP	B3	5.560	5.428	5.540	5.476	5.547	5.561	5.490	5.449	5.495	5.453	5.460	5.420	5.449	5.476	5.415	5.374	5.506	5.503	5.441
GaAs	B3	5.762	5.626	5.770	5.687	5.762	5.786	5.701	5.648	5.708	5.654	5.664	5.600	5.659	5.683	5.602	5.547	5.750	5.705	5.641
GaSb	B3	6.217	6.043	6.210	6.109	6.201	6.231	6.132	6.071	6.141	6.077	6.094	6.019	6.079	6.107	6.012	5.958	6.210	6.149	6.086
InP	B3	5.988	5.845	5.972	5.894	5.971	5.999	5.909	5.860	5.915	5.865	5.872	5.830	5.849	5.885	5.812	5.769	5.948	5.931	5.858
